match_id,action_id,n_lane_blockers,max_def_cheap,max_def_exact,exact_score_of_cheap_pid,pid_cheap,pid_exact
10502,169,8,0.06992835982447339,2.169055611927412,0.0008236822031264524,8342.0,1522.0
10502,170,8,0.06819912076435584,1.822643998356643,0.017944573480357384,8342.0,1522.0
10502,171,8,0.045142326899329045,0.6603252723061726,0.211021581490769,8342.0,1522.0
10502,172,8,0.06490945842394576,0.7276245591710637,0.0057467886230764265,8342.0,37.0
10502,173,6,0.006102230990265851,3.0088781590537472,0.08175489726411733,8026.0,37.0
10502,174,5,0.0032191341435241706,0.9546420102952569,0.00016273731739246955,8327.0,37.0
10502,175,6,0.026660289454365677,0.5912672143928015,0.006545685911484966,107.0,8343.0
10502,176,6,0.04665467272207861,0.06927912633435263,0.06927912633435263,37.0,37.0
10502,177,6,0.012490486247825784,0.3635865913231968,0.0226131746735887,1973.0,916.0
10502,178,6,0.012891205645305383,0.3635865913231968,0.0226131746735887,1973.0,916.0
10502,179,7,0.03914063171103889,0.013304568892396063,0.013304568892396063,1522.0,1522.0
10502,180,8,0.0,0.0,,,
10502,181,8,0.014460742654626895,0.7597227192745999,0.020767967955230393,1334.0,916.0
10502,182,8,6.112576448987161e-11,0.0,0.0,1522.0,
10502,183,8,0.0421580669043572,1.0137825038485637,0.23800187315227106,8327.0,8134.0
10502,184,7,0.0185044874667468,0.4589139788624812,0.0011286720233569802,1339.0,1971.0
10502,185,6,1.799240430212521e-05,1.201959669423907,0.16001819768783498,1973.0,1971.0
10502,186,8,0.0,0.0,,,
10502,187,8,0.0,0.0,,,
10502,188,9,2.35975327625537e-10,0.06867852041839306,0.0,1339.0,8343.0
10502,189,9,0.01870140297362849,0.24599321228772508,0.023165594782894594,13121.0,1971.0
10502,190,9,0.03912973033896715,0.5326984250996354,0.007317902002403898,1339.0,1973.0
10502,191,7,0.13088024545416846,1.1094342011767804,0.0,13121.0,1973.0
10502,192,8,0.0543578051536886,1.501596945995253,0.0,13121.0,1973.0
10502,193,7,0.10347136572702664,2.058140020292811,0.0,107.0,8343.0
10502,194,8,0.041302485381621616,1.901139782824668,0.02852274600477145,13121.0,8343.0
10502,195,9,0.017131394310757036,2.050427581113839,0.02482410915945721,13121.0,8343.0
10502,196,7,0.05349129255012499,2.000760874951937,0.02375697013809308,13121.0,8343.0
10502,197,7,0.11797489846548541,1.5857231475175038,0.009688441708121331,13121.0,1973.0
10502,198,8,0.005662033532959725,1.1019972927937935,0.037629086838546044,13121.0,8343.0
10502,199,8,0.06755690831477949,1.398434976970523,0.009338037441108504,1334.0,8343.0
10502,200,9,0.023612818703300557,1.5405408456037701,1.5405408456037701,8343.0,8343.0
10502,201,9,0.023612818703300557,1.5405408456037701,1.5405408456037701,8343.0,8343.0
10502,204,10,0.03770564545553321,0.6689738321339718,0.08885111805858692,8026.0,8134.0
10502,205,9,0.000850678402993,0.8650706766300527,0.0,1339.0,916.0
10502,206,9,0.02135901955928292,0.44368605269659245,0.0422122324092058,8033.0,8026.0
10502,207,9,0.02942606856567829,0.4716550339981769,0.0816001776157691,8033.0,8026.0
10502,208,7,0.03592598399346618,1.2447581197576065,0.008509962162655427,8033.0,1522.0
10502,209,8,0.05269876398338313,0.9551309031427557,0.045665357794652195,37.0,8134.0
10502,210,8,0.004817110664222195,0.5736817485307206,0.5736817485307206,1971.0,1971.0
10502,211,7,0.014345606915698823,0.7467317375862823,0.0009247549248971865,802.0,1971.0
10502,212,9,0.05760116328555324,0.44676913844794974,0.005095971185124171,802.0,1973.0
10502,213,10,0.035177161139147026,1.2344172124150532,0.005184372329169573,13121.0,1973.0
10502,214,9,0.03347385500433411,1.1337928037262772,0.00148938097395801,802.0,1973.0
10502,215,8,0.07288055928260354,0.9794940262812659,0.00032790045536490453,802.0,1973.0
10502,216,8,0.0,0.5375433287520632,,,1971.0
10502,217,8,0.0,0.7639193068724879,,,916.0
10502,218,8,0.0894958253798401,0.9485488657024401,0.0767775759325664,8342.0,1522.0
10502,219,8,0.0894958253798401,0.9485488657024401,0.0767775759325664,8342.0,1522.0
10502,220,6,0.06868955810730092,0.7097842848119784,0.19351966240298335,8033.0,1522.0
10502,221,7,0.17169008753569287,0.6541514006521467,0.0315297347144643,11094.0,284.0
10502,222,8,0.03281625008918769,0.594413337133255,0.15263699304001133,1522.0,284.0
10502,223,10,0.03918071768832869,0.6364272207190096,0.00010467762663068925,8327.0,8134.0
10502,224,9,0.0,0.704464369441979,,,8026.0
10502,225,7,0.06059280596363007,1.4691827965572672,0.2430806834292003,8342.0,284.0
10502,226,8,0.11647906522362547,1.2724575927693396,0.006670894916354975,11094.0,284.0
10502,227,6,0.05523660436303765,0.8163917750527316,0.0,11094.0,1522.0
10502,228,8,0.04023644719805782,0.8883303209343314,0.0,8342.0,8134.0
10502,229,8,0.04089697383668109,0.4634668635195087,0.03329159291793182,8134.0,8026.0
10502,230,8,0.04109001483722673,3.3664186108289167,0.00914164065525025,1522.0,11094.0
10502,231,8,0.04956638494309702,3.3664186108289167,0.08654116451115712,8026.0,11094.0
10502,232,9,0.03454179551381583,0.9186054305076827,0.013188195435636096,1339.0,916.0
10502,233,8,0.012353583122838694,0.8179658596202866,0.007936145530536454,1339.0,916.0
10502,234,7,0.023858826687591417,1.0338960126272014,0.01085977357177903,13121.0,1971.0
10502,235,6,0.011014509796556795,0.02523299429613779,0.0026902587425610136,1334.0,1971.0
10502,236,9,0.015292845762547622,0.1372001482340206,0.020901972291496485,1334.0,1973.0
10502,237,6,0.00044013585749350185,0.1694171808025402,0.1694171808025402,1971.0,1971.0
10502,238,7,0.02266863989534719,0.4816381025707068,0.020615384658126068,107.0,8343.0
10502,239,9,0.015314558843116399,0.8953664615754149,0.012430256100416148,1339.0,8343.0
10502,240,10,0.030066371230481018,1.0271195156826347,0.00012983563780633034,802.0,8343.0
10502,241,10,0.035953733917957635,1.1797852800701936,0.01958811100321789,1339.0,8343.0
